,brewery,name,origin,volume_ml,price,bitterness,body,sweetness,recommendation,cat_1,cat_2,price/100_ml
139,nils oscar,god lager,sverige,330.0,19.9,7.0,5.0,2.0,Passar till buffématPassar till fiskPassar till sällskapsdryckPassar till grönsaker,ljus lager,dortmunder och helles,6.030303030303029
140,san miguel,,spanien,330.0,14.9,3.0,3.0,2.0,Passar till fiskPassar till skaldjurPassar till kryddstarktPassar till sällskapsdryck,ljus lager,internationell stil,4.515151515151515
141,"bellman 6,0",,,500.0,14.9,6.0,6.0,2.0,Passar till fågelPassar till fläskPassar till nötPassar till sällskapsdryck,ljus lager,starkare lager,2.98
142,pistonhead,haze lager,sverige,330.0,11.5,6.0,5.0,1.0,Passar till fågelPassar till fläskPassar till sällskapsdryckPassar till grönsaker,ljus lager,modern stil/india pale lager,3.4848484848484853
143,desperados,tequila flavoured beer,nederländerna,330.0,18.9,3.0,4.0,4.0,Passar till sällskapsdryck,annan öl,,5.727272727272727
144,guldkällan,,sverige,330.0,8.9,5.0,6.0,1.0,Passar till buffématPassar till fiskPassar till fläsk,ljus lager,internationell stil,2.696969696969697
145,oppigårds,indian tribute,sverige,330.0,24.0,8.0,6.0,4.0,Passar till fläskPassar till lammPassar till fiskPassar till sällskapsdryck,ale,india pale ale,7.2727272727272725
146,pistonhead,kustom lager,sverige,330.0,11.5,7.0,6.0,1.0,Passar till fågelPassar till fläskPassar till grönsakerPassar till sällskapsdryck,ljus lager,modern stil/india pale lager,3.4848484848484853
147,oktoberfestive,lager,tjeckien,500.0,21.9,6.0,6.0,2.0,Passar till sällskapsdryckPassar till fågelPassar till fläskPassar till grönsaker,ljus lager,pilsner,4.38
148,st eriks ipa,,sverige,330.0,19.9,9.0,7.0,1.0,Passar till fläskPassar till lammPassar till nötPassar till sällskapsdryck,ale,india pale ale,6.030303030303029
149,millennium,,,500.0,11.4,5.0,5.0,1.0,Passar till fiskPassar till fågelPassar till fläskPassar till sällskapsdryck,ljus lager,internationell stil,2.2800000000000002
150,carlsberg hof,organic,,500.0,15.6,4.0,4.0,1.0,Passar till fiskPassar till fläskPassar till buffématPassar till sällskapsdryck,ljus lager,internationell stil,3.1199999999999997
151,sälens fjällbryggeri,fjäll-dimma,sverige,330.0,26.9,6.0,7.0,3.0,Passar till fläskPassar till grönsakerPassar till lammPassar till sällskapsdryck,ale,new england ipa/hazy ipa,8.15151515151515
152,mariestads old ox,,sverige,500.0,18.9,6.0,7.0,2.0,Passar till sällskapsdryckPassar till fläsk,ljus lager,ljus bocköl,3.7800000000000002
153,guldkällan,,tyskland,330.0,9.9,5.0,6.0,1.0,Passar till buffématPassar till fiskPassar till sällskapsdryckPassar till fläsk,ljus lager,internationell stil,3.0000000000000004
